"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 23 17:36:23 GMT 2020","Sun Aug 23 17:36:23 GMT 2020","37","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Sun Aug 23 17:36:24 GMT 2020","Sun Aug 23 17:36:24 GMT 2020","2","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2()",""
"passed","Sun Aug 23 17:36:24 GMT 2020","Sun Aug 23 17:36:24 GMT 2020","4","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Second Name]","allureParameterizedTest description"
"passed","Sun Aug 23 17:36:24 GMT 2020","Sun Aug 23 17:36:24 GMT 2020","21","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [First Name]","allureParameterizedTest description"
"passed","Sun Aug 23 17:36:24 GMT 2020","Sun Aug 23 17:36:24 GMT 2020","28","","io.qameta.allure.examples.junit5.AllureSimpleTest","","io.qameta.allure.examples.junit5.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Sun Aug 23 17:36:24 GMT 2020","Sun Aug 23 17:36:24 GMT 2020","5","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
