"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 23 17:35:40 GMT 2020","Sun Aug 23 17:35:40 GMT 2020","1","","","","","","Create new milestone for authorized user",""
"passed","Sun Aug 23 17:35:39 GMT 2020","Sun Aug 23 17:35:39 GMT 2020","1","","","","","","Create new label via api",""
"passed","Sun Aug 23 17:35:39 GMT 2020","Sun Aug 23 17:35:39 GMT 2020","1","","","","","","Delete existing label via api",""
"passed","Sun Aug 23 17:35:39 GMT 2020","Sun Aug 23 17:35:39 GMT 2020","1","","","","","","Create new label for authorized user",""
"failed","Sun Aug 23 17:35:39 GMT 2020","Sun Aug 23 17:35:40 GMT 2020","1003","","","","","","Delete existing label for authorized user",""
"passed","Sun Aug 23 17:35:40 GMT 2020","Sun Aug 23 17:35:40 GMT 2020","1","","","","","","Close existing milestone for authorized user",""
"broken","Sun Aug 23 17:35:39 GMT 2020","Sun Aug 23 17:35:39 GMT 2020","2","","","","","","Add label to existing issue for authorized user",""
