"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 13:21:21 GMT 2020","Thu Aug 13 13:21:21 GMT 2020","1","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Thu Aug 13 13:21:21 GMT 2020","Thu Aug 13 13:21:21 GMT 2020","10","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Thu Aug 13 13:21:21 GMT 2020","Thu Aug 13 13:21:21 GMT 2020","0","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Thu Aug 13 13:21:21 GMT 2020","Thu Aug 13 13:21:21 GMT 2020","0","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Thu Aug 13 13:21:21 GMT 2020","Thu Aug 13 13:21:21 GMT 2020","16","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureSimpleTest","io.qameta.allure.examples.testng.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Thu Aug 13 13:21:21 GMT 2020","Thu Aug 13 13:21:21 GMT 2020","0","Surefire suite","Surefire test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
