"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 14:34:29 GMT 2020","Fri Aug 14 14:34:29 GMT 2020","1","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Second Name]","allureParameterizedTest description"
"passed","Fri Aug 14 14:34:29 GMT 2020","Fri Aug 14 14:34:29 GMT 2020","21","","io.qameta.allure.examples.junit5.AllureSimpleTest","","io.qameta.allure.examples.junit5.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Fri Aug 14 14:34:29 GMT 2020","Fri Aug 14 14:34:29 GMT 2020","29","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [First Name]","allureParameterizedTest description"
"passed","Fri Aug 14 14:34:29 GMT 2020","Fri Aug 14 14:34:29 GMT 2020","2","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2()",""
"passed","Fri Aug 14 14:34:29 GMT 2020","Fri Aug 14 14:34:29 GMT 2020","3","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
"passed","Fri Aug 14 14:34:28 GMT 2020","Fri Aug 14 14:34:29 GMT 2020","135","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
