"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 23 13:30:44 GMT 2020","Sun Aug 23 13:30:44 GMT 2020","3","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [Second Name]","allureParameterizedTest description"
"passed","Sun Aug 23 13:30:44 GMT 2020","Sun Aug 23 13:30:44 GMT 2020","31","","io.qameta.allure.examples.junit5.AllureSimpleTest","","io.qameta.allure.examples.junit5.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Sun Aug 23 13:30:44 GMT 2020","Sun Aug 23 13:30:44 GMT 2020","20","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName [First Name]","allureParameterizedTest description"
"passed","Sun Aug 23 13:30:44 GMT 2020","Sun Aug 23 13:30:44 GMT 2020","1","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2()",""
"passed","Sun Aug 23 13:30:44 GMT 2020","Sun Aug 23 13:30:44 GMT 2020","30","","io.qameta.allure.examples.junit5.AllureParameterizedTest","","io.qameta.allure.examples.junit5.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest()",""
"passed","Sun Aug 23 13:30:44 GMT 2020","Sun Aug 23 13:30:44 GMT 2020","3","","io.qameta.allure.examples.junit5.AllureFixtureTest","","io.qameta.allure.examples.junit5.AllureFixtureTest","allureFixtureTest","allureFixtureTest()",""
