"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 19 05:49:20 GMT 2020","Wed Aug 19 05:49:20 GMT 2020","6","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Wed Aug 19 05:49:19 GMT 2020","Wed Aug 19 05:49:20 GMT 2020","1010","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Wed Aug 19 05:49:19 GMT 2020","Wed Aug 19 05:49:19 GMT 2020","7","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"broken","Wed Aug 19 05:49:20 GMT 2020","Wed Aug 19 05:49:20 GMT 2020","11","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Wed Aug 19 05:49:20 GMT 2020","Wed Aug 19 05:49:20 GMT 2020","5","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Wed Aug 19 05:49:19 GMT 2020","Wed Aug 19 05:49:19 GMT 2020","36","","Labels","","Create new label via api","","Create new label via api",""
"passed","Wed Aug 19 05:49:19 GMT 2020","Wed Aug 19 05:49:19 GMT 2020","6","","Labels","","Delete existing label via api","","Delete existing label via api",""
