"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 06:30:01 GMT 2020","Fri Aug 14 06:30:01 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Fri Aug 14 06:30:01 GMT 2020","Fri Aug 14 06:30:01 GMT 2020","0","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[Second Name]","allureParameterizedTest[Second Name]","allureParameterizedTest description"
"passed","Fri Aug 14 06:30:01 GMT 2020","Fri Aug 14 06:30:01 GMT 2020","2","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Fri Aug 14 06:30:01 GMT 2020","Fri Aug 14 06:30:01 GMT 2020","36","","io.qameta.allure.examples.junit4.AllureSimpleTest","","io.qameta.allure.examples.junit4.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Fri Aug 14 06:30:01 GMT 2020","Fri Aug 14 06:30:01 GMT 2020","1","","io.qameta.allure.examples.junit4.AllureFixtureTest","","io.qameta.allure.examples.junit4.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Fri Aug 14 06:30:01 GMT 2020","Fri Aug 14 06:30:01 GMT 2020","16","","io.qameta.allure.examples.junit4.AllureParameterizedTest","","io.qameta.allure.examples.junit4.AllureParameterizedTest","allureParameterizedTest[First Name]","allureParameterizedTest[First Name]","allureParameterizedTest description"
