"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 14:33:48 GMT 2020","Fri Aug 14 14:33:48 GMT 2020","1","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Fri Aug 14 14:33:48 GMT 2020","Fri Aug 14 14:33:48 GMT 2020","12","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Fri Aug 14 14:33:48 GMT 2020","Fri Aug 14 14:33:48 GMT 2020","37","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureSimpleTest","io.qameta.allure.examples.testng.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Fri Aug 14 14:33:48 GMT 2020","Fri Aug 14 14:33:48 GMT 2020","1","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Fri Aug 14 14:33:48 GMT 2020","Fri Aug 14 14:33:48 GMT 2020","2","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Fri Aug 14 14:33:48 GMT 2020","Fri Aug 14 14:33:48 GMT 2020","3","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
