"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 14 07:40:09 GMT 2020","Fri Aug 14 07:40:09 GMT 2020","0","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest2","allureFixtureTest2",""
"passed","Fri Aug 14 07:40:09 GMT 2020","Fri Aug 14 07:40:09 GMT 2020","2","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
"passed","Fri Aug 14 07:40:09 GMT 2020","Fri Aug 14 07:40:09 GMT 2020","42","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureSimpleTest","io.qameta.allure.examples.testng.AllureSimpleTest","allureSimpleTest","allureSimpleTest displayName",""
"passed","Fri Aug 14 07:40:09 GMT 2020","Fri Aug 14 07:40:09 GMT 2020","13","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureFixtureTest","io.qameta.allure.examples.testng.AllureFixtureTest","allureFixtureTest","allureFixtureTest",""
"passed","Fri Aug 14 07:40:09 GMT 2020","Fri Aug 14 07:40:09 GMT 2020","4","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureFakeParameterizedTest","allureFakeParameterizedTest",""
"passed","Fri Aug 14 07:40:09 GMT 2020","Fri Aug 14 07:40:09 GMT 2020","2","Gradle suite","Gradle test","io.qameta.allure.examples.testng.AllureParameterizedTest","io.qameta.allure.examples.testng.AllureParameterizedTest","allureParameterizedTest","allureParameterizedTest displayName","allureParameterizedTest description"
